company_name,website,country,employee_count,industry,travel_category,page_title,b2c_score,b2c_reasoning,source_file,line_number
DiDi,https://didiglobal.com,Mexico,25000,Unknown,,Homepage - DiDi official website,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2965
Best Of Tours Ltd.,https://bestoftours.co.uk,United Kingdom,30,Unknown,,Home - Best of Tours UK,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3032
ALTOUR,https://altour.com,United States,1100,Unknown,,Altour - A Global Team of Business Travel Experts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3306
"RMC, Your Destination Connection",https://rmcdmc.com,United States,200,Unknown,,Destination Management Event Planners | RMC,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3387
AERO,https://aero.tur.ar,United States,170,Unknown,,Aero - Operador Mayorista de Turismo,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3440
Troo Hospitality,https://troohospitality.com,United Kingdom,32,Unknown,,Home - Troo Hospitality,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3518
HEI Hotels & Resorts,https://heihotels.com,United States,1400,Unknown,,HEI | Hotels + Resorts | Hotel and Resort Management,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3610
High Class Limousine,https://highclasslimousinevip.com,United States,12,Unknown,,Milwaukee Limo Service | Party Bus Milwaukee,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3613
DREAM ESCAPES TOURS AND TRAVELS (I) PRIVATE LIMITED,https://dreamescape.co.uk,United States,39,Unknown,,Dream Escape is a leading luxury travel design company and destination specialist offering the ultimate in exclusive and inspirational customised travel experiences to the UK and Ireland.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3625
Cumbernauld,https://cumbernauld.com,United Kingdom,78,Unknown,,Cumbernauld: Discover the Best of This Vibrant Scottish Town,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3632
Acme Hospitality,https://acmehospitality.com,United States,73,Unknown,,"Acme Hospitality | Memorable Restaurants, Bars & Boutique Hotels",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3640
The Living Circle,https://thelivingcircle.ch,United States,89,Unknown,,"
	Welcome to The Living Circle | Luxury fed by nature  - The Living Circle
",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3644
Wyndham Destinations,https://wyndhamdestinations.com,United States,25000,Unknown,,Timeshares and Vacation Ownership — Wyndham Destinations,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3764
Stay One Degree,https://stayonedegree.com,United Kingdom,14,Unknown,,Stay in the finest One percent of holiday homes | StayOne,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3778
Legacy Ventures Hospitality,https://lvmgt.com,United States,210,Unknown,,Home - Legacy Ventures,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3779
Thomas E Strauss Inc,https://tesincpa.com,United States,35,Unknown,,"Thomas E. Strauss, Inc. | Hospitality Group in Lancaster PA",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3865
Woodside Hospitality Group,https://woodsidehg.com,United States,46,Unknown,,Woodside Hospitality Group | Official Website,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3871
Spire Hospitality,https://spirehotels.com,United States,340,Unknown,,SPIRE Hospitality | Redefining Hospitality For A Better Future,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3953
Fairmont Hot Springs Resort,https://fairmonthotsprings.com,Canada,110,Unknown,,"Fairmont Hot Springs Resort - Top Hotel Fairmont, BC",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3985
Hallmark Inns and Resorts,https://hallmarkinns.com,United States,210,Unknown,,Hallmark Inns & Resorts | Homepage | Official Site,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3986
Ellicott Development Company,https://ellicottdevelopment.com,United States,170,Unknown,,"Buffalo Apartments, Offices & Hotels - Ellicott Development",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,3999
Maine Turnpike Authority,https://maineturnpike.com,United States,160,Unknown,,Maine Turnpike Authority - Home,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4020
Massachusetts Port Authority,https://massport.com,United States,710,Unknown,,Massachusetts Port Authority | Massport,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4031
Clay Lacy Aviation,https://claylacy.com,United States,520,Unknown,,Clay Lacy Aviation | Private Jet Charter & Management Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4040
MCR Hotels,https://mcrhotels.com,United States,580,Unknown,,"
		MCR Hotels | Hotel Development and Management	",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4173
The Crossing at Big Creek,https://thecrossingbigcreek.com,United States,14,Unknown,,The Crossing at Big Creek |,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4201
Port Arthur Historic Site Management Authority,https://portarthur.org.au,Australia,81,Unknown,,Home - Port Arthur Historic Site,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4271
Evans Hotels,https://evanshotels.com,United States,640,Unknown,,Family-Owned San Diego Hotels | Evans Hotels,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4313
Million Air,https://millionair.com,United States,670,Unknown,,Million Air – Experience. Million Air.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4371
Alterra Mountain Company,https://alterramtn.co,Canada,1100,Unknown,,Alterra Mountain Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4394
Columbia Hospitality Management,https://columbiahm.com,United States,25,Unknown,,Columbia Hospitality Management – Hotel & Condo Property Management,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4413
JIPA Network,https://jipanetwork.com,United States,18,Unknown,,JIPA Network - Your connection to affordable global health care.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4432
Conn's Hospitality Group,https://connshg.com,United States,19,Unknown,,"
	Conn's Hospitality Group | Beer | Food | Community
",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4434
ECO Destination Management Services of Aruba & Curacao,https://ecodms.com,United States,23,Unknown,,ECO Destination Management Aruba and Curaçao || ECO DMS,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4437
CMC Hotels,https://cmchotels.com,United States,73,Unknown,,"CMC Hotels – Development, Acquisition, Repositioning and Management",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4452
Make Ready,https://makereadyexperience.com,United States,210,Unknown,,MAKEREADY™,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4498
World Travel Holdings,https://worldtravelholdings.com,United States,980,Unknown,,Homepage - World Travel Holdings,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4529
Lodgic Hospitality,https://lodgichospitality.com,United States,26,Unknown,,Lodgic Hospitality | A Premium Hotel Management Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4530
JIFU,https://jifu.com,United States,770,Unknown,,JIFU – The Ultimate Lifestyle Membership,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4533
Visit Austin,https://austintexas.org,United States,110,Unknown,,"Austin, TX | Hotels, Music, Restaurants & Things to Do",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4558
Wandrian,https://wandrian.com,United States,52,Unknown,,Wandrian | Italy travel experts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4576
"Wisconsin Aviation, Inc.",https://wisconsinaviation.com,United States,130,Unknown,,Serving Your General Aviation Needs Since 1981 | Wisconsin Aviation,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4662
Rogers Group,https://rogers.mu,United States,170,Unknown,,ER Group | Ignite Tomorrow,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4667
Tourcan Vacations,https://tourcanvacations.com,Canada,29,Unknown,,"Tourcan Vacations – Providing Vacations of a Lifetime for over 33 years. Custom, group, safaris, adventure & luxury tours. Live your dreams and travel the world.",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4685
Namou Hotel Group,https://namouhotels.com,United States,20,Unknown,,The Namou Hotel Group – The Namou Hotel Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4700
Point B Realty,https://pointbrealty.com,United States,19,Unknown,,Martha's Vineyard Vacation Rentals & Real Estate | Point B Realty,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4710
Brazos Transit District,https://btd.org,United States,27,Unknown,,Home - Brazos Transit District,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4723
Atlific Hotels,https://atlifichotels.com,Canada,140,Unknown,,Hotel Management | Atlific Hotels | Canadian Hotel Company ,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4737
Providence Hospitality Partner,https://providencehospitality.com,United States,41,Unknown,,"Providence Hospitality Partners - Hotel Operations - Denver,CO",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4744
Ocean Institute,https://oceaninstitute.org,United States,120,Unknown,,Home - Ocean Institute,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4754
huntington hotel group,https://huntingtonhotelgroup.com,United States,96,Unknown,,Hotel Management Company | Huntington Hotel Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4756
BlissTravel,https://blisstravel.gr,United States,14,Unknown,,BlissTravel.gr | Premium Boutique Travel Agency,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4795
Kew Green Hotels,https://kewgreenhotels.com,United Kingdom,520,Unknown,,Kew Green Hotels | International Hotel Management Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4841
Double Tree By Hilton,https://eldoradohoteles.com,United States,1400,Unknown,,Hoteles en Iquitos | El Dorado Hoteles,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4846
high hotels ltd.,https://highhotels.com,United States,120,Unknown,,Hotels | High Real Estate Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4858
Stonebridge Companies,https://sbcos.com,United States,760,Unknown,,Stonebridge Companies | Hospitality Management,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4861
PerceptIn,https://perceptin.io,United States,11,Unknown,,Home | English-Active,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4917
Tunica Convention & Visitors Bureau,https://tunicatravel.com,United States,20,Unknown,,"Tunica, Mississippi - Visit & Find Entertainment Just Down The Road",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4927
Welcome Group,https://welcomegroupinc.com,United States,66,Unknown,,Hospitality With Warmth | Welcome Group | WGI,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4946
Labovitz Enterprises,https://lionhotelgroup.com,United States,12,Unknown,,lionhotelgroup.com – Success is in the details.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4964
Crown Resorts,https://crownresorts.com.au,Australia,20000,Unknown,,Crown - Crown Resorts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,4975
Star Hotel Group,https://starhotels.com.au,Australia,280,Unknown,,Star Hotels | Shop Star & Save,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5011
Hotel Co 51,https://hotelco51.com,United Kingdom,170,Unknown,,Home - Hotel Co 51,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5017
"Newport Hospitality Group, Inc",https://nhghotels.com,United States,140,Unknown,,"
Newport Hospitality Group (NHG) | Excellence in Hotel Management",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5034
Port of Portland,https://portofportland.com,United States,760,Unknown,,Port of Portland - Home,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5054
Island View Casino Resort,https://islandviewcasino.com,United States,760,Unknown,,Island View Casino Resort & smoke-free Beach View Casino Resort,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5096
Helloworld Travel Limited,https://helloworldlimited.com.au,Australia,660,Unknown,,Helloworld Travel Limited – Helloworld Travel Limited,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5099
Private Jet Services,https://pjsgroup.com,United States,480,Unknown,,Private Jet Rental | Corporate Travel | Business Aviation,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5112
Embassy Suites by Hilton™ Orlando Lake Buena Vista South,https://orlandolakebuenavistaevents.com,United States,44,Unknown,,"Embassy Suites Orlando Lake Buena Vista South– esolbvs
",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5161
"Vision Hospitality Group, Inc.",https://vhghotels.com,United States,330,Unknown,,Vision Hospitality Group | Official Site,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5250
Sunray Group of Hotels,https://sunraygroup.com,Canada,120,Unknown,,Sunray Group | Hospitality and Property Developer,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5347
Key Lime Air,https://keylimeair.com,United States,120,Unknown,,Colorado Air Charter and Cargo Charter | Key Lime Air,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5539
The Sounding Board,https://porttb.com,United States,140,Unknown,,Port of Tampa Bay Official Information,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5544
MedAsk,https://medask.com.pk,Ukraine,160,Unknown,,Medask.Com,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5717
Fozzy Group,https://fozzy.ua,Ukraine,2000,Unknown,,Fozzy Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5736
Cremonini Group,https://cremonini.com,Russia,270,Unknown,,Gruppo Cremonini – Sostenibilità. Integrazione. Circolarità. Tre direttive per la crescita.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5819
Sabre Airline Solutions,https://sabre.com,United States,6300,Unknown,,"
            Sabre            – An innovative technology company        ",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5828
